,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2019-12-31,261768.06888000906,95658.78702190556,87086.3621684623,115565.65725151,206307.16154770803,212398.0176120942,102836.31833576743,126119.86507581102,107020.0113039082,89569.87594420757,292198.2627872332,104926.94773967209,220525.46914139573,70213.42420025675,115348.69995717252,92400.08304887195,83291.52391297439,104244.4180034795,182300.40008018567,130172.528719725,136396.19677697812,97590.7414569894,141748.2809925867,87427.02070211216,106494.81089238559,222753.72035748576,95093.75629955337,196359.79915191763,131215.5750497372,144631.29351194628,131665.17755658634,151225.95801193963,224632.8580507099,83560.21426199103,79580.98735391736,75413.2420233912,180680.47113802802,103293.95473684595,103776.67306522506,92458.42932125242,184098.67173499416,109102.48212695125,110864.71603216456,170241.53303615833,94103.622519145,203538.02569624095,169185.63618679513,150708.58974945013,104831.1201036243,274921.07250283664
2020-01-31,262724.1801139012,96282.03884549538,87221.1786062426,116425.46274240706,207075.09970136752,213344.51038193403,103198.34345066585,126858.20969490672,107706.77173299262,89972.07847648364,293623.86468488775,97851.26150875093,222544.02414041196,68818.46755570428,108595.60772754872,92766.05863452714,83878.48020906534,101036.4079856563,182912.9578561291,130741.25401372382,117687.60782020602,98081.87010205467,142323.25839668812,83647.54971892566,106480.36654028569,224140.78408037132,94215.18295825378,196491.7750218648,116076.68601229505,145445.97726240236,132544.7960854207,152187.64925278156,193744.72127559053,82238.89368595446,79984.70030086183,73686.77425724288,181905.01806176873,103645.02657418177,104363.25808975915,92975.02360327553,184695.463179833,109916.90533060911,111268.70815734645,171597.4740804469,94480.58091048729,204623.5197337261,166096.3046810709,151491.72583386637,104763.02778484933,276120.5703256102
2020-02-29,263398.890273804,96802.24691757519,87427.2652830895,117426.0131800907,207945.1530722552,214410.37330325873,103643.70033279693,127595.55807968996,108503.97934585171,90520.26718665115,295239.8353798484,94710.45882480047,224695.9214781894,69057.54867359936,109381.79613711099,93238.30676205724,84428.62906972303,101386.60828542939,183779.91322623502,131352.47735958142,118437.64753071884,98711.23386868392,143019.8031347129,84028.52563825501,106564.0434034735,225749.97899139766,93392.61286666973,196378.891459612,116310.53391133451,146352.82806176893,133540.2300945738,152823.3483194232,195071.37777774248,82483.637943453,79313.77644178877,74181.45600001654,183169.9558013254,104007.41181390885,105070.60923858015,93405.66178672508,185148.44970127032,107949.59510927479,110599.90629493259,173009.75609950468,94956.28803075927,205315.8121693561,167432.66501700337,152191.45274094603,105040.48146278314,277259.29490396066
2020-03-31,263946.4487107426,97402.68256312881,87817.12656389597,118488.18206596049,209056.84257771983,215608.8642490961,104341.0523897826,128327.54436397056,109288.40080936781,91150.278527546,296906.75901001063,94884.09516569595,227127.01313584566,69302.16766415084,110237.79775336338,93834.80598920939,85075.76963456272,101450.87395167162,184977.57723644702,132041.42754740285,119449.77700741298,99501.34607430357,143885.47213514388,84443.44417634106,107067.38261347619,227870.99877867702,94021.31841707541,196277.1686929304,116565.12558633545,147432.39533801272,134764.56565955415,153404.0962005783,196545.69963001084,82827.83145925596,78760.18951232401,74581.22439973343,184572.65425467468,104427.18887558102,106019.80801330903,93920.90265894713,185761.38367099676,106154.13077014282,111157.43936771911,174511.82495988856,95530.51580470635,205844.27351110886,168907.32673527556,152981.186043865,105627.00981608096,278507.7441665581
2020-04-30,264399.9718906609,98078.81618385123,88671.9534014945,119252.22539259135,209830.32944910816,216870.6295883203,104944.7469843289,128939.15233931129,109594.67079255887,91763.12273698769,298282.6611275289,95187.16511335316,229626.9115995827,69569.68318701848,111066.0321301391,94538.210167434,85645.1024851966,101591.07971374119,185964.77037757725,132628.23672409952,120491.20505118389,100309.98604244707,144740.8933005414,84882.93762006157,107945.67119193573,229935.41917118023,94645.4744029439,196824.21360963304,116982.904737015,148527.48309580877,136026.05689452047,154296.68025872874,197579.3742820321,83168.60887319788,79280.44526944659,74908.7544522633,180366.79558936707,105087.15779196106,106662.75048444966,94408.90406290976,186707.32121826534,106925.30668392824,111800.16608897608,175997.7080133956,95985.0277119257,206399.86820516307,170409.12335006052,153841.7316526473,106508.97377259059,279906.68872960645
2020-05-31,264019.1043990351,95617.95699273216,89510.04319298103,119810.699170579,209874.43130502076,204328.10995298263,105267.88128991475,129253.54286348887,107899.35627065515,92183.43824051974,298817.1110716395,95506.84429965708,231692.9207765222,69585.38859572435,104800.73030752379,91149.94817112511,86248.12451276649,101606.26484052686,186355.09800627292,112465.07812601388,121364.93535778883,93142.03909301697,145333.287407656,85279.67091689257,108584.01804615911,231218.25500218535,95057.41828253174,197558.30016609377,117376.2638642959,132799.00000260404,136926.8264973507,155243.23995116018,184849.3713786208,83480.45566507358,77594.8745498023,74997.77451643407,181116.23117542578,97858.45314170634,107080.35289324481,94844.12708909849,187590.72785731277,107591.7213391301,111181.83036232858,177002.82475099957,96292.78141527936,206897.0956261013,171621.0422700045,154540.47502702786,95240.89133233411,280822.06332063297
2020-06-30,263061.0220122355,96130.23537606456,90222.82041271144,120417.57152554214,209589.46532273406,204599.23878856507,105299.93182996738,129435.93529983514,108140.74324715103,92527.31149085544,298841.7205253598,95750.22701966441,233342.02069565456,69573.09445488929,105113.03482630363,91350.41723276448,86757.20416796934,101571.59466918716,186681.17521831204,112671.07858779807,122082.66378367599,93198.14478132098,145758.40550815617,85613.25661760794,108663.68969779636,231735.89876269255,95390.59414307005,198153.18453202903,117818.6882905748,133362.88800890843,137327.5149156874,156226.37301836238,184931.68291003985,83753.51444836716,77943.54515986885,74998.06728089042,181582.67545341954,98134.91235646374,107309.59660520502,95224.0339310287,188171.30210088985,108136.74638432273,110509.846734763,177651.0598996817,96630.75650892331,207340.21040183055,172584.5481193771,155053.3692424301,95475.10966578613,281206.88328819594
2020-07-31,262396.2162034765,96619.21541907698,90975.48305081336,121118.01458622438,209614.3275702787,204830.9047850069,105402.38775934002,129860.5061043907,108565.71544870472,92929.08759964364,299132.20635090134,96119.96043473418,235185.56742301595,69646.56560978742,105397.28556910821,91741.31970639533,87406.90155210438,101639.36482067106,187215.45049071172,112940.91767565516,122975.26850888376,91679.02535489808,146177.32333728645,86098.31114535252,108949.95146701248,232382.2509097094,95810.0655994335,198697.46144417886,118450.08018942465,134075.4052543931,137470.85063224638,157397.69709095947,185312.2174351874,84097.97278983904,78398.72793484775,75094.26775915378,182190.4391322236,96672.57594647084,107624.47519592337,95614.5466573103,189019.7370571644,105966.86621945223,111163.1997291632,178402.90563437823,97037.61567847444,208124.26558372768,173604.96205066555,155594.8845629979,95614.0188214407,281606.29379583115
2020-08-31,263276.1573352922,97338.02867065217,92018.66634877046,122272.39963217927,210773.32689886863,205868.347932609,105914.52372783533,130824.58778637933,109342.39902781408,93779.31584689996,300642.6457995319,96637.99745719673,237949.249416614,70040.77522673289,105967.82528118844,92454.5810187831,88287.40210713742,102325.11088534385,188613.65972958357,113588.19042953002,108905.58114714667,92163.84935841167,146867.940779721,86832.50409403777,109863.5056732474,234064.04014139142,96670.35037625102,199406.30990665496,119407.18683397588,110771.65282333143,137877.47994966348,158968.5259775889,186323.85210244363,84680.91145216089,79156.39702275196,75575.87330241052,183574.95385519144,97296.18612301562,108236.52946052927,96331.42581590786,190264.112736218,106525.68788023616,112157.59414773172,179893.06949676914,97767.96188791997,209751.7662088087,175368.51990618973,156679.58486116806,96101.79249339721,282889.27757161186
2020-09-30,265363.5581384031,95428.31677938487,93446.08104604592,118249.3479875521,213374.85350892704,208022.30220334663,107095.99697099673,132358.61545589083,110573.27010027191,95175.88996142376,303517.23036700726,97609.36172679892,242115.0676351075,70913.59863359982,100861.04134400444,93627.97991584375,89662.64773443062,103782.39055798216,190949.63013779456,114876.9317085445,110787.67771606808,93393.83528436783,148214.62318874514,87130.51874756215,111471.09360986315,237184.30042499624,95506.315550755,200806.3852947507,120825.28247576336,112555.556679417,139010.4617091986,161103.40998680587,188270.0695642826,85736.46714540367,79277.94147901527,76479.17012600845,185937.20343363757,98634.64606717389,109534.89245488333,94495.65378586891,192289.76381889966,107558.21499317003,112529.2239426165,182339.60536281372,98987.72173419246,132934.64685700205,178080.34931547058,158660.23189918455,97125.73381652395,285374.7528971309
2020-10-31,267434.22949042276,96578.95157768471,94718.66892213108,120214.09102311349,216686.75819629585,211005.07039178134,108887.28681906011,134239.19600729295,112056.38365866439,96771.27576570908,307066.61304482486,98640.11611186544,236773.67306205252,71799.46637139613,102176.07606127221,94778.580745272,91187.0713970549,104931.44539832197,194093.74850349387,116555.84271360516,113036.11222429291,94826.52721580624,149937.58815664216,89376.93929823686,112622.24899638112,241020.3598994637,96693.07240793425,201779.0138326006,122211.25297052953,114786.90842243163,140800.42466621887,163335.79842252313,190565.44444706736,87202.44871993418,80646.80496372076,77435.49382574197,188971.37240153586,100179.82732347744,111285.43516609754,99043.69994578845,194269.54795684668,108841.71376443317,113852.25479910459,185372.22049725385,100391.58958635318,134821.49782864048,181178.56591624752,160991.40789781543,98517.10346259648,288629.72339021193
2020-11-30,269374.5112242113,97728.42799627391,95686.40607520792,122200.33937814392,220381.16072845622,214574.0667002775,110979.53093048198,136438.2902952013,113644.56346204353,98266.43798709041,311119.37731826067,99604.30979043945,253103.7063440482,72433.4907593475,103771.5892872517,95958.1458675665,92625.69286027552,105417.57953909086,197734.4722364296,118320.08906788599,115477.19182600595,96248.50221960498,151815.2602970854,90643.72068427826,113184.61349422036,245659.68059275107,98384.57510173538,202470.33956128123,123534.72683807496,117249.98817232838,143217.1365122287,165410.15369794998,193284.93097905564,88814.66430578727,82058.48087923939,78508.17685529121,192561.5733031303,101765.92065729745,113210.18959467414,100453.9918376053,196479.60807142177,110126.49875770899,113774.54655795495,188823.96365287004,101755.77258287185,136642.37734793196,184423.83748470322,163203.55234437107,100158.57651762744,292533.9271136449
2020-12-31,270858.4195022598,95743.07486327506,96192.1725593255,124259.893644046,224015.50391300986,218368.95410659723,113243.59749356686,138908.5324128453,115356.09549585177,99585.66483517985,315256.7180770968,100258.61870661846,259196.45024956012,72788.19451765732,105313.32419750227,96919.61050780184,93748.18035230813,105070.61287979668,201703.19130647043,120092.81104089305,117832.98475382692,97383.014670041,153509.99736165072,91621.04088308185,113175.6428476553,250522.11722178644,103280.12480239867,202529.66804223863,124550.75915633813,119678.34443121281,145880.05200713972,167132.00105671416,196225.16199707854,90447.61072802923,83334.93535165784,77106.06971797092,196306.5846601865,103043.33632624913,115361.992637189,98188.31493570983,198382.791175845,111297.1866995331,113454.3470339288,192415.90151623116,103064.90111496377,138389.2333228993,187530.55380756233,164987.5147001032,101661.13153054043,296460.18180570786
2021-01-31,271880.80439986684,93774.5181444704,96622.80446096958,126181.72779013631,227115.35400589718,221914.14994674758,115281.03675356429,141315.61832187147,116813.98883380501,100793.07978056479,283578.7728710374,94458.5987262268,249749.33519758165,73076.251561692,99042.18896922511,97760.41505601197,88743.17673439876,104765.17056328103,205071.21211995443,121587.8505928049,120003.35655256035,98503.01301793226,154970.49210563823,90262.47153136121,113355.62613851378,255537.63395719515,104905.7182604517,202817.57205407068,125564.13069671523,121991.4465371946,148507.06293934927,168578.68443483373,186889.2650202886,91636.908555781,83298.88429739393,78000.6328954321,194317.08371995745,102271.85801436676,116986.06099331599,99242.19454099565,200231.20375013349,107485.50726642563,112033.44925618489,175320.6784306625,104102.67752998493,140211.98693706584,190496.87524680566,155713.03055942443,103086.68009433328,300146.73983286845
